,param,equity_curve
0,"[370, 4.3]",0.0
1,"[390, 4.4]",0.0
2,"[410, 4.5]",0.0
3,"[430, 4.6]",0.0
4,"[450, 4.7]",0.0
5,"[470, 4.8]",0.0
6,"[490, 4.9]",0.0
7,"[870, 4.9]",0.0
8,"[880, 4.9]",0.0
9,"[890, 4.9]",0.0
10,"[900, 4.9]",0.0
11,"[910, 4.8]",0.0
12,"[910, 4.9]",0.0
13,"[920, 4.8]",0.0
14,"[920, 4.9]",0.0
15,"[930, 4.8]",0.0
16,"[930, 4.9]",0.0
17,"[940, 4.8]",0.0
18,"[940, 4.9]",0.0
19,"[950, 4.8]",0.0
20,"[950, 4.9]",0.0
21,"[960, 4.8]",0.0
22,"[960, 4.9]",0.0
23,"[970, 4.8]",0.0
24,"[970, 4.9]",0.0
25,"[980, 4.8]",0.0
26,"[980, 4.9]",0.0
27,"[990, 4.8]",0.0
28,"[990, 4.9]",0.0
29,"[10, 0.5]",2.5256609021520586e-05
30,"[10, 0.6]",4.7011546621163644e-05
31,"[10, 0.7]",8.974067936717103e-05
32,"[10, 0.8]",0.0001491157389602218
33,"[10, 0.9]",0.00023087402244596896
34,"[10, 1.0]",0.0003672877373788902
35,"[10, 1.1]",0.0004934981991517129
36,"[10, 1.3]",0.0008049250082166913
37,"[10, 1.2]",0.0008679226348948033
38,"[20, 0.5]",0.0009845447754392958
39,"[10, 1.4]",0.0014848398381616529
40,"[20, 0.6]",0.0015047540880415218
41,"[10, 1.5]",0.001655560783490043
42,"[20, 0.7]",0.0018369772445725565
43,"[10, 1.6]",0.0020259477481248127
44,"[20, 0.8]",0.00273397263924674
45,"[20, 1.0]",0.004013231227198818
46,"[20, 1.2]",0.004687261889956303
47,"[20, 0.9]",0.00493936373918805
48,"[30, 0.5]",0.005145298855869189
49,"[20, 1.3]",0.0056482184659370615
50,"[20, 1.1]",0.006101704155861548
51,"[30, 0.6]",0.006140569661027371
52,"[30, 0.7]",0.006475336824241537
53,"[10, 1.8]",0.007139963328704947
54,"[10, 1.7]",0.007162261666787436
55,"[20, 1.4]",0.007615844565868865
56,"[20, 1.5]",0.007749480660836462
57,"[20, 1.6]",0.007773395837196792
58,"[30, 0.8]",0.008209559246943658
59,"[20, 1.7]",0.010530779992957758
60,"[30, 0.9]",0.01235197014396185
61,"[20, 1.8]",0.012641874814526699
62,"[20, 2.1]",0.013593681083908656
63,"[20, 2.0]",0.013744517833860662
64,"[20, 1.9]",0.013934038577987667
65,"[30, 1.0]",0.013960770168004817
66,"[30, 1.2]",0.015197691552244414
67,"[10, 1.9]",0.01522792841982711
68,"[30, 1.3]",0.017884339359137653
69,"[30, 1.1]",0.018091388008449297
70,"[10, 2.0]",0.0184872376541513
71,"[20, 2.2]",0.01906321985573532
72,"[30, 1.4]",0.02364308170010361
73,"[40, 0.5]",0.02931431179752284
74,"[40, 0.8]",0.029762467424032893
75,"[40, 0.7]",0.03039686928193521
76,"[40, 0.6]",0.03129271188026276
77,"[50, 0.5]",0.03180074535106484
78,"[30, 1.5]",0.032949831057370954
79,"[60, 0.6]",0.03442197963397501
80,"[10, 2.1]",0.03453077475194101
81,"[20, 2.3]",0.03732717691498891
82,"[30, 1.7]",0.040649036321878634
83,"[60, 0.5]",0.04090518583053755
84,"[30, 1.6]",0.0432505648471371
85,"[40, 0.9]",0.04756636298946979
86,"[30, 1.8]",0.04877873296345751
87,"[50, 0.6]",0.05072909988177586
88,"[40, 1.0]",0.05317992867957659
89,"[20, 2.4]",0.05509729309020893
90,"[60, 0.7]",0.06133599600908693
91,"[40, 1.1]",0.06343237983031275
92,"[20, 2.5]",0.06460600403599578
93,"[70, 0.5]",0.06513825312060548
94,"[10, 2.3]",0.06732854733103526
95,"[60, 0.8]",0.06767523284742971
96,"[30, 1.9]",0.07398762858251418
97,"[70, 0.6]",0.07506262092922592
98,"[50, 0.7]",0.07851195736560193
99,"[80, 0.5]",0.08144467480636036
100,"[90, 0.5]",0.08733658452497324
101,"[40, 1.2]",0.08738766780585663
102,"[50, 0.9]",0.09067466034672915
103,"[50, 0.8]",0.09187515498460665
104,"[30, 2.0]",0.09438582890506803
105,"[70, 0.7]",0.09874350484766782
106,"[60, 0.9]",0.1003634973819704
107,"[50, 1.0]",0.10926458951305694
108,"[40, 1.3]",0.11126135191794133
109,"[70, 0.8]",0.11177165561653078
110,"[10, 2.2]",0.11208799352453358
111,"[10, 2.4]",0.11877166449572353
112,"[80, 0.6]",0.11992645164759452
113,"[70, 0.9]",0.12148348736338885
114,"[20, 2.6]",0.12421985542189624
115,"[30, 2.1]",0.1412249816960343
116,"[50, 1.1]",0.14195034133604387
117,"[80, 0.9]",0.15428652117479597
118,"[90, 0.6]",0.15581033395673832
119,"[40, 1.4]",0.15985980423991303
120,"[80, 0.7]",0.16108105052207872
121,"[40, 1.5]",0.1640326455812809
122,"[790, 3.6]",0.1642318626975258
123,"[720, 3.5]",0.16519289207611526
124,"[70, 1.0]",0.16640626691438015
125,"[80, 0.8]",0.16724159498842836
126,"[710, 3.5]",0.17032572414759262
127,"[10, 2.5]",0.17062442899941171
128,"[720, 3.6]",0.17158715238441738
129,"[720, 3.4]",0.17818421820429864
130,"[60, 1.0]",0.18044913240251384
131,"[680, 3.5]",0.18108392569751428
132,"[700, 3.5]",0.181824821680408
133,"[690, 3.5]",0.18194578186548924
134,"[780, 3.6]",0.18230664967524737
135,"[30, 2.3]",0.18243319171237962
136,"[670, 3.5]",0.18393238237889187
137,"[710, 3.4]",0.1849666392981326
138,"[700, 3.4]",0.18541063226366514
139,"[710, 3.6]",0.18568526626375306
140,"[720, 3.2]",0.18686936028123716
141,"[680, 3.4]",0.1898935702114371
142,"[720, 3.3]",0.19071739662129503
143,"[750, 3.7]",0.19161174332751704
144,"[690, 3.4]",0.1925711101217452
145,"[710, 3.1]",0.19267571813098042
146,"[710, 3.2]",0.19267571813098042
147,"[40, 1.6]",0.19314155995387208
148,"[790, 3.7]",0.19413424590156
149,"[720, 3.1]",0.19437886891179604
150,"[30, 2.2]",0.19725769593814949
151,"[90, 0.7]",0.19830755976952064
152,"[710, 3.3]",0.1984714217813758
153,"[80, 1.0]",0.2011990424653837
154,"[690, 3.3]",0.2036983676576924
155,"[700, 3.2]",0.20429824230794583
156,"[770, 3.6]",0.20528284828735288
157,"[760, 3.6]",0.20708963302736438
158,"[790, 3.5]",0.20795757560533798
159,"[700, 3.6]",0.2093583683053234
160,"[700, 3.3]",0.2104435525743327
161,"[770, 3.7]",0.2115171701382663
162,"[760, 3.7]",0.21361370653319445
163,"[90, 0.9]",0.21371964857307124
164,"[780, 3.7]",0.2154999850590935
165,"[40, 1.7]",0.21559176863444052
166,"[740, 3.7]",0.2178694059371471
167,"[740, 3.5]",0.22063777276294982
