,param,equity_curve
0,"[830, 4.7]",0.0
1,"[840, 4.7]",0.0
2,"[850, 4.6]",0.0
3,"[850, 4.7]",0.0
4,"[860, 4.5]",0.0
5,"[860, 4.6]",0.0
6,"[870, 4.5]",0.0
7,"[870, 4.6]",0.0
8,"[880, 4.4]",0.0
9,"[880, 4.6]",0.0
10,"[880, 4.5]",0.0
11,"[890, 4.4]",0.0
12,"[890, 4.5]",0.0
13,"[900, 4.4]",0.0
14,"[900, 4.5]",0.0
15,"[910, 4.4]",0.0
16,"[910, 4.5]",0.0
17,"[920, 4.4]",0.0
18,"[920, 4.5]",0.0
19,"[930, 4.4]",0.0
20,"[930, 4.5]",0.0
21,"[940, 4.5]",0.0
22,"[940, 4.4]",0.0
23,"[950, 4.5]",0.0
24,"[950, 4.4]",0.0
25,"[960, 4.5]",0.0
26,"[960, 4.4]",0.0
27,"[970, 4.5]",0.0
28,"[970, 4.4]",0.0
29,"[980, 4.5]",0.0
30,"[980, 4.4]",0.0
31,"[990, 4.5]",0.0
32,"[10, 0.5]",6.858601209785837e-07
33,"[10, 0.6]",3.236811170975082e-06
34,"[10, 0.7]",6.673679083160682e-06
35,"[10, 0.8]",1.5986445296362913e-05
36,"[10, 1.0]",3.846887682945282e-05
37,"[10, 0.9]",3.8864117723770456e-05
38,"[10, 1.1]",5.392100425296222e-05
39,"[10, 1.4]",7.497573311125595e-05
40,"[10, 1.5]",8.374760024953799e-05
41,"[10, 1.3]",8.914404789060385e-05
42,"[20, 0.5]",0.00011861553534052743
43,"[10, 1.2]",0.00012645551952956217
44,"[10, 1.6]",0.0001367586868597212
45,"[20, 0.6]",0.00023602196258481329
46,"[10, 1.7]",0.000464883875620975
47,"[20, 0.7]",0.000541292581885879
48,"[10, 1.9]",0.0006478999126023011
49,"[20, 0.8]",0.0007128900808985424
50,"[10, 1.8]",0.0007424640470975684
51,"[20, 0.9]",0.0010694583659581615
52,"[30, 0.5]",0.0011134122002904446
53,"[30, 0.6]",0.0011469433721057294
54,"[10, 2.1]",0.0013861962537982627
55,"[10, 2.0]",0.0015444293746715702
56,"[20, 1.0]",0.001843828706985237
57,"[20, 1.1]",0.0019321767177689767
58,"[20, 1.2]",0.0025409542891646894
59,"[30, 0.7]",0.0025481320662387643
60,"[10, 2.2]",0.0026070293634075773
61,"[20, 1.4]",0.0027906857224158517
62,"[20, 1.5]",0.0029947949756141006
63,"[20, 1.3]",0.00328659278343859
64,"[30, 0.8]",0.003508573603879721
65,"[20, 1.6]",0.004706024148407691
66,"[30, 0.9]",0.0064365267470835345
67,"[40, 0.5]",0.007577119403577055
68,"[40, 0.6]",0.008607162108828772
69,"[80, 0.5]",0.008809683779036598
70,"[20, 1.7]",0.008948735961210109
71,"[90, 0.5]",0.00935347868817497
72,"[10, 2.3]",0.009523729560044278
73,"[30, 1.0]",0.009764441235126903
74,"[10, 2.4]",0.011289375566745412
75,"[70, 0.5]",0.011544857438703595
76,"[60, 0.5]",0.011859685394228065
77,"[20, 1.8]",0.01195825156229735
78,"[40, 0.7]",0.012167978642918078
79,"[30, 1.1]",0.013303470716504723
80,"[70, 0.6]",0.014967857572041297
81,"[50, 0.5]",0.016925326781413348
82,"[20, 2.1]",0.018604286943400487
83,"[80, 0.6]",0.018728940729718743
84,"[40, 0.8]",0.021060819550704924
85,"[90, 0.6]",0.02183472649016939
86,"[20, 2.0]",0.022730475047490983
