,param,equity_curve
0,"[860, 4.8]",0.0
1,"[880, 4.7]",0.0
2,"[890, 4.7]",0.0
3,"[920, 4.6]",0.0
4,"[930, 4.6]",0.0
5,"[940, 4.6]",0.0
6,"[950, 4.6]",0.0
7,"[960, 4.6]",0.0
8,"[970, 4.6]",0.0
9,"[980, 4.6]",0.0
10,"[990, 4.6]",0.0
11,"[10, 0.5]",2.1909591600478058e-05
12,"[10, 0.6]",5.642196304415708e-05
13,"[10, 0.7]",8.562013332335783e-05
14,"[10, 0.8]",0.00010662632063764726
15,"[10, 1.1]",0.00031385513263582917
16,"[10, 1.0]",0.0003564725718155788
17,"[10, 0.9]",0.0003780804171711057
18,"[20, 0.5]",0.00044255505999120153
19,"[10, 1.2]",0.0004945132980419626
20,"[10, 1.4]",0.0005217775667602925
21,"[10, 1.5]",0.0005260262146718998
22,"[10, 1.3]",0.0005319467178935082
23,"[10, 1.6]",0.0007563262190596023
24,"[20, 0.6]",0.0010143403501548178
25,"[20, 0.7]",0.0014525719981732976
26,"[10, 1.7]",0.0016562474003545154
27,"[10, 1.9]",0.0026045129772309336
28,"[20, 0.8]",0.0027939088030357107
29,"[20, 0.9]",0.0032002439886735434
30,"[10, 1.8]",0.003917439051473896
31,"[20, 1.1]",0.004225066066720923
32,"[20, 1.2]",0.004347006164051694
33,"[20, 1.3]",0.004591884902315047
34,"[20, 1.0]",0.004825945804106628
35,"[30, 0.5]",0.005328375592514106
36,"[20, 1.5]",0.005934103364767295
37,"[20, 1.4]",0.0068763475707678415
38,"[30, 0.6]",0.008590168064804206
39,"[30, 0.7]",0.009594519613208192
40,"[20, 1.6]",0.009709625626922467
41,"[10, 2.0]",0.011283376195377809
42,"[30, 0.8]",0.014314915105183512
43,"[20, 1.7]",0.015500732310232707
44,"[30, 0.9]",0.017761011996041663
45,"[30, 1.0]",0.01973281398717154
46,"[20, 1.8]",0.021466349657208537
47,"[10, 2.1]",0.02452378814558668
48,"[30, 1.1]",0.029813810176677752
49,"[10, 2.2]",0.030261249014595152
50,"[40, 0.5]",0.04836431532856327
51,"[20, 2.2]",0.04845370684540721
52,"[40, 0.6]",0.05125953856859259
53,"[20, 1.9]",0.053626049438980535
54,"[20, 2.3]",0.059500022115909594
55,"[20, 2.0]",0.06009447616036638
56,"[40, 0.7]",0.06379447539221142
57,"[10, 2.3]",0.06537886141581706
58,"[30, 1.3]",0.0698799397185999
59,"[30, 1.4]",0.07154767982187901
60,"[30, 1.2]",0.07937041951803704
61,"[20, 2.1]",0.0874573832291939
62,"[20, 2.6]",0.09076658062110225
63,"[50, 0.5]",0.09413368811306483
64,"[20, 2.4]",0.09433244122503087
65,"[20, 2.7]",0.09614707739790196
66,"[30, 1.7]",0.11068233981162776
67,"[60, 0.5]",0.11315458598671328
68,"[30, 1.5]",0.11410750443079949
69,"[40, 0.9]",0.11490639842304601
70,"[40, 0.8]",0.1164401815665214
71,"[20, 2.5]",0.11646696660146676
72,"[50, 0.6]",0.13345623837348555
73,"[20, 2.8]",0.13402308602264193
74,"[80, 0.5]",0.13973469685582318
75,"[30, 1.6]",0.1496036309916111
76,"[30, 1.8]",0.1532450092842696
77,"[60, 0.6]",0.16390513895332148
78,"[10, 2.5]",0.16852626553727815
79,"[60, 0.8]",0.168587127978742
80,"[70, 0.8]",0.17861017296595286
81,"[10, 2.4]",0.1831890176758086
82,"[70, 0.5]",0.1860408027711098
83,"[30, 2.6]",0.18982665527052967
84,"[80, 0.6]",0.19778669859596693
85,"[30, 2.3]",0.2122025125424939
86,"[60, 0.9]",0.2124013378235673
87,"[20, 2.9]",0.213552107893101
88,"[30, 1.9]",0.22208011902389274
89,"[70, 0.6]",0.23322653964392573
90,"[70, 0.9]",0.2384222056061244
91,"[60, 0.7]",0.24441340133239356
92,"[60, 1.0]",0.24804663685795222
93,"[30, 2.4]",0.2641113591816456
94,"[30, 2.2]",0.2651292841958468
95,"[50, 0.7]",0.26534025082227436
96,"[20, 3.1]",0.26882617082972704
97,"[70, 0.7]",0.27778666051344914
98,"[40, 1.0]",0.2911265919142935
99,"[30, 2.7]",0.3125166199115909
100,"[590, 4.6]",0.3143742363099483
101,"[30, 2.0]",0.31665291374887483
102,"[70, 1.0]",0.31744293130749246
103,"[80, 0.7]",0.32161696147620333
104,"[580, 4.6]",0.3238930250875359
105,"[30, 2.9]",0.32460342227350225
106,"[570, 4.5]",0.33048898824936146
107,"[80, 0.8]",0.3329601007124487
108,"[30, 2.1]",0.3361095727045442
