,param,equity_curve
0,"[10, 0.5, 0.3]",1.600792877848876e-70
1,"[10, 0.5, 0.4]",1.600792877848876e-70
2,"[10, 0.5, 0.1]",1.600792877848876e-70
3,"[10, 0.5, 0.2]",1.600792877848876e-70
4,"[10, 0.5, 0.5]",1.8262416895780504e-70
5,"[10, 0.5, 0.7]",2.2295168511277072e-70
6,"[10, 0.5, 0.8]",2.2295168511277072e-70
7,"[10, 0.5, 0.6]",2.2295168511277072e-70
8,"[10, 0.5, 0.9]",2.2295168511277072e-70
9,"[10, 0.6, 0.1]",4.565659562303734e-63
10,"[10, 0.6, 0.3]",4.565659562303734e-63
11,"[10, 0.6, 0.2]",4.565659562303734e-63
12,"[10, 0.6, 0.4]",4.565659562303734e-63
13,"[10, 0.6, 0.5]",5.098653030519197e-63
14,"[10, 0.6, 0.8]",6.300119067080234e-63
15,"[10, 0.6, 0.6]",6.300119067080234e-63
16,"[10, 0.6, 0.7]",6.300119067080234e-63
17,"[10, 0.6, 0.9]",6.300119067080234e-63
18,"[10, 0.7, 0.1]",7.185514160874046e-56
19,"[10, 0.7, 0.3]",7.185514160874046e-56
20,"[10, 0.7, 0.2]",7.185514160874046e-56
21,"[10, 0.7, 0.4]",7.185514160874046e-56
22,"[10, 0.7, 0.5]",8.436084074675578e-56
23,"[10, 0.7, 0.6]",1.0189931900254143e-55
24,"[10, 0.7, 0.7]",1.0189931900254143e-55
25,"[10, 0.7, 0.8]",1.0189931900254143e-55
26,"[10, 0.7, 0.9]",1.0189931900254143e-55
27,"[10, 0.8, 0.1]",1.0622493056216638e-49
28,"[10, 0.8, 0.2]",1.0622493056216638e-49
29,"[10, 0.8, 0.4]",1.0622493056216638e-49
30,"[10, 0.8, 0.3]",1.0622493056216638e-49
31,"[10, 0.8, 0.5]",1.245474905582688e-49
32,"[10, 0.8, 0.7]",1.5235564891761692e-49
33,"[10, 0.8, 0.6]",1.5235564891761692e-49
34,"[10, 0.8, 0.8]",1.5235564891761692e-49
35,"[10, 0.8, 0.9]",1.5235564891761692e-49
36,"[10, 0.9, 0.1]",1.4380019686106485e-43
37,"[10, 0.9, 0.2]",1.4380019686106485e-43
38,"[10, 0.9, 0.3]",1.4380019686106485e-43
39,"[10, 0.9, 0.4]",1.4380019686106485e-43
40,"[10, 0.9, 0.5]",1.7392979763090578e-43
41,"[10, 0.9, 0.7]",2.0603788063644517e-43
42,"[10, 0.9, 0.6]",2.0603788063644517e-43
43,"[10, 0.9, 0.8]",2.0603788063644517e-43
44,"[10, 0.9, 0.9]",2.0603788063644517e-43
45,"[10, 1.0, 0.3]",7.650940897779399e-38
46,"[10, 1.0, 0.4]",7.650940897779399e-38
47,"[10, 1.0, 0.2]",7.650940897779399e-38
48,"[10, 1.0, 0.1]",7.650940897779399e-38
49,"[10, 1.0, 0.5]",9.257374468724653e-38
50,"[10, 1.0, 0.6]",1.1004490346343712e-37
51,"[10, 1.0, 0.8]",1.1004490346343712e-37
52,"[10, 1.0, 0.7]",1.1004490346343712e-37
53,"[10, 1.0, 0.9]",1.1004490346343712e-37
54,"[20, 0.5, 0.5]",1.0892290957391487e-36
55,"[20, 0.5, 0.6]",1.1557656721666172e-36
56,"[20, 0.5, 0.8]",1.1557656721666172e-36
57,"[20, 0.5, 0.7]",1.1557656721666172e-36
58,"[20, 0.5, 0.9]",1.1557656721666172e-36
59,"[20, 0.5, 0.2]",1.175364238559057e-36
