,param,equity_curve
0,"[10, 0.5, 0.6]",8.396475016477848e-07
1,"[10, 0.5, 0.7]",8.396475016477848e-07
2,"[10, 0.5, 0.8]",8.396475016477848e-07
3,"[10, 0.5, 0.9]",8.396475016477848e-07
4,"[10, 0.5, 0.3]",9.01682918101957e-07
5,"[10, 0.5, 0.2]",9.01682918101957e-07
6,"[10, 0.5, 0.4]",9.01682918101957e-07
7,"[10, 0.5, 0.1]",9.01682918101957e-07
8,"[10, 0.5, 0.5]",9.01682918101957e-07
9,"[10, 0.6, 0.7]",7.736980315970763e-06
10,"[10, 0.6, 0.6]",7.736980315970763e-06
11,"[10, 0.6, 0.9]",7.736980315970763e-06
12,"[10, 0.6, 0.8]",7.736980315970763e-06
13,"[10, 0.6, 0.4]",8.308609237699271e-06
14,"[10, 0.6, 0.1]",8.308609237699271e-06
15,"[10, 0.6, 0.2]",8.308609237699271e-06
16,"[10, 0.6, 0.3]",8.308609237699271e-06
17,"[10, 0.6, 0.5]",8.308609237699271e-06
18,"[10, 0.7, 0.6]",1.4454919230182716e-05
19,"[10, 0.7, 0.8]",1.4454919230182716e-05
20,"[10, 0.7, 0.9]",1.4454919230182716e-05
21,"[10, 0.7, 0.7]",1.4454919230182716e-05
22,"[10, 0.7, 0.1]",1.5522887553194475e-05
23,"[10, 0.7, 0.2]",1.5522887553194475e-05
24,"[10, 0.7, 0.4]",1.5522887553194475e-05
25,"[10, 0.7, 0.3]",1.5522887553194475e-05
26,"[10, 0.7, 0.5]",1.5522887553194475e-05
27,"[10, 0.8, 0.9]",3.211419602415087e-05
28,"[10, 0.8, 0.6]",3.211419602415087e-05
29,"[10, 0.8, 0.7]",3.211419602415087e-05
30,"[10, 0.8, 0.8]",3.211419602415087e-05
31,"[10, 0.8, 0.1]",3.448687922816137e-05
32,"[10, 0.8, 0.2]",3.448687922816137e-05
33,"[10, 0.8, 0.4]",3.448687922816137e-05
34,"[10, 0.8, 0.3]",3.448687922816137e-05
35,"[10, 0.8, 0.5]",3.448687922816137e-05
36,"[10, 1.0, 0.7]",6.442241032996826e-05
37,"[10, 1.0, 0.6]",6.442241032996826e-05
38,"[10, 1.0, 0.9]",6.442241032996826e-05
39,"[10, 1.0, 0.8]",6.442241032996826e-05
40,"[10, 1.0, 0.2]",6.918211133063623e-05
41,"[10, 1.0, 0.1]",6.918211133063623e-05
42,"[10, 1.0, 0.3]",6.918211133063623e-05
43,"[10, 1.0, 0.5]",6.918211133063623e-05
44,"[10, 1.0, 0.4]",6.918211133063623e-05
45,"[10, 0.9, 0.6]",8.192437883952318e-05
46,"[10, 0.9, 0.7]",8.192437883952318e-05
47,"[10, 0.9, 0.8]",8.192437883952318e-05
48,"[10, 0.9, 0.9]",8.192437883952318e-05
49,"[10, 0.9, 0.1]",8.797717236190696e-05
50,"[10, 0.9, 0.2]",8.797717236190696e-05
51,"[10, 0.9, 0.3]",8.797717236190696e-05
52,"[10, 0.9, 0.4]",8.797717236190696e-05
53,"[10, 0.9, 0.5]",8.797717236190696e-05
54,"[10, 1.1, 0.7]",0.0006487145728936259
55,"[10, 1.1, 0.6]",0.0006487145728936259
56,"[10, 1.1, 0.8]",0.0006487145728936259
57,"[10, 1.1, 0.9]",0.0006487145728936259
58,"[10, 1.1, 0.1]",0.0006966433508753061
59,"[10, 1.1, 0.2]",0.0006966433508753061
60,"[10, 1.1, 0.4]",0.0006966433508753061
61,"[10, 1.1, 0.3]",0.0006966433508753061
62,"[10, 1.1, 0.5]",0.0006966433508753061
63,"[10, 1.2, 0.6]",0.0012610589912422344
64,"[10, 1.2, 0.7]",0.0012610589912422344
65,"[10, 1.2, 0.9]",0.0012610589912422344
66,"[10, 1.2, 0.8]",0.0012610589912422344
67,"[10, 1.2, 0.2]",0.0013542294223355992
68,"[10, 1.2, 0.4]",0.0013542294223355992
69,"[10, 1.2, 0.5]",0.0013542294223355992
70,"[10, 1.2, 0.1]",0.0013542294223355992
71,"[10, 1.2, 0.3]",0.0013542294223355992
72,"[20, 0.5, 0.1]",0.0015826500261564766
73,"[20, 0.5, 0.5]",0.0015826500261564766
74,"[20, 0.5, 0.3]",0.0015826500261564766
75,"[20, 0.5, 0.2]",0.0015826500261564766
76,"[20, 0.5, 0.4]",0.0015826500261564766
77,"[20, 0.5, 0.6]",0.0015826500261564766
78,"[20, 0.5, 0.9]",0.0015826500261564766
79,"[20, 0.5, 0.8]",0.0015826500261564766
80,"[20, 0.5, 0.7]",0.0015826500261564766
81,"[10, 1.3, 0.8]",0.0023215611357402057
82,"[10, 1.3, 0.6]",0.0023215611357402057
83,"[10, 1.3, 0.9]",0.0023215611357402057
84,"[10, 1.3, 0.7]",0.0023215611357402057
85,"[10, 1.3, 0.1]",0.0024930843185006304
86,"[10, 1.3, 0.2]",0.0024930843185006304
87,"[10, 1.3, 0.3]",0.0024930843185006304
88,"[10, 1.3, 0.4]",0.0024930843185006304
89,"[10, 1.3, 0.5]",0.0024930843185006304
90,"[10, 1.4, 0.6]",0.006028369626578098
91,"[10, 1.4, 0.9]",0.006028369626578098
92,"[10, 1.4, 0.8]",0.006028369626578098
93,"[10, 1.4, 0.7]",0.006028369626578098
94,"[10, 1.4, 0.2]",0.006473761793636904
95,"[10, 1.4, 0.1]",0.006473761793636904
96,"[10, 1.4, 0.4]",0.006473761793636904
97,"[10, 1.4, 0.3]",0.006473761793636904
98,"[10, 1.4, 0.5]",0.006473761793636904
99,"[20, 0.6, 0.1]",0.007631909806518555
100,"[20, 0.6, 0.3]",0.007631909806518555
101,"[20, 0.6, 0.2]",0.007631909806518555
102,"[20, 0.6, 0.5]",0.007631909806518555
103,"[20, 0.6, 0.6]",0.007631909806518555
104,"[20, 0.6, 0.4]",0.007631909806518555
105,"[20, 0.6, 0.7]",0.007631909806518555
106,"[20, 0.6, 0.8]",0.007631909806518555
107,"[20, 0.6, 0.9]",0.007631909806518555
108,"[10, 1.5, 0.6]",0.029902744881114378
109,"[10, 1.5, 0.8]",0.029902744881114378
110,"[10, 1.5, 0.7]",0.029902744881114378
111,"[10, 1.5, 0.9]",0.029902744881114378
112,"[10, 1.5, 0.1]",0.03211204012487142
113,"[10, 1.5, 0.2]",0.03211204012487142
114,"[10, 1.5, 0.3]",0.03211204012487142
115,"[10, 1.5, 0.4]",0.03211204012487142
116,"[10, 1.5, 0.5]",0.03211204012487142
117,"[10, 1.7, 0.6]",0.0550888446079582
118,"[10, 1.7, 0.9]",0.0550888446079582
119,"[10, 1.7, 0.8]",0.0550888446079582
120,"[10, 1.7, 0.7]",0.0550888446079582
121,"[10, 1.6, 0.6]",0.05664723395738167
122,"[10, 1.6, 0.9]",0.05664723395738167
123,"[10, 1.6, 0.7]",0.05664723395738167
124,"[10, 1.6, 0.8]",0.05664723395738167
125,"[30, 0.5, 0.2]",0.05740608062398511
126,"[30, 0.5, 0.1]",0.05740608062398511
127,"[30, 0.5, 0.4]",0.05740608062398511
128,"[30, 0.5, 0.5]",0.05740608062398511
129,"[30, 0.5, 0.3]",0.05740608062398511
130,"[30, 0.5, 0.8]",0.05740608062398511
131,"[30, 0.5, 0.6]",0.05740608062398511
132,"[30, 0.5, 0.7]",0.05740608062398511
133,"[30, 0.5, 0.9]",0.05740608062398511
134,"[10, 1.7, 0.2]",0.059158956661560826
135,"[10, 1.7, 0.3]",0.059158956661560826
136,"[10, 1.7, 0.1]",0.059158956661560826
