,param,equity_curve
0,"[160, 4.1]",0.0
1,"[170, 4.1]",0.0
2,"[180, 4.2]",0.0
3,"[430, 4.9]",0.0
4,"[440, 4.9]",0.0
5,"[440, 4.8]",0.0
6,"[450, 4.8]",0.0
7,"[450, 4.9]",0.0
8,"[460, 4.8]",0.0
9,"[460, 4.9]",0.0
10,"[470, 4.8]",0.0
11,"[470, 4.9]",0.0
12,"[480, 4.7]",0.0
13,"[480, 4.9]",0.0
14,"[480, 4.8]",0.0
15,"[490, 4.7]",0.0
16,"[490, 4.8]",0.0
17,"[490, 4.9]",0.0
18,"[500, 4.7]",0.0
19,"[500, 4.9]",0.0
20,"[500, 4.8]",0.0
21,"[510, 4.9]",0.0
22,"[510, 4.8]",0.0
23,"[520, 4.8]",0.0
24,"[520, 4.7]",0.0
25,"[520, 4.9]",0.0
26,"[530, 4.8]",0.0
27,"[530, 4.9]",0.0
28,"[530, 4.7]",0.0
29,"[540, 4.6]",0.0
30,"[540, 4.7]",0.0
31,"[540, 4.8]",0.0
32,"[540, 4.9]",0.0
33,"[550, 4.6]",0.0
34,"[550, 4.7]",0.0
35,"[550, 4.8]",0.0
36,"[550, 4.9]",0.0
37,"[560, 4.6]",0.0
38,"[560, 4.7]",0.0
39,"[560, 4.9]",0.0
40,"[560, 4.8]",0.0
41,"[570, 4.6]",0.0
42,"[570, 4.7]",0.0
43,"[570, 4.9]",0.0
44,"[570, 4.8]",0.0
45,"[580, 4.6]",0.0
46,"[580, 4.9]",0.0
47,"[580, 4.7]",0.0
48,"[580, 4.8]",0.0
49,"[590, 4.6]",0.0
50,"[590, 4.7]",0.0
51,"[590, 4.8]",0.0
52,"[590, 4.9]",0.0
53,"[600, 4.6]",0.0
54,"[600, 4.7]",0.0
55,"[600, 4.8]",0.0
56,"[600, 4.9]",0.0
57,"[610, 4.6]",0.0
58,"[610, 4.7]",0.0
59,"[610, 4.8]",0.0
60,"[610, 4.9]",0.0
61,"[620, 4.7]",0.0
62,"[620, 4.6]",0.0
63,"[620, 4.8]",0.0
64,"[620, 4.9]",0.0
65,"[630, 4.6]",0.0
66,"[630, 4.8]",0.0
67,"[630, 4.7]",0.0
68,"[630, 4.9]",0.0
69,"[640, 4.5]",0.0
70,"[640, 4.6]",0.0
71,"[640, 4.7]",0.0
72,"[640, 4.8]",0.0
73,"[640, 4.9]",0.0
74,"[650, 4.7]",0.0
75,"[650, 4.5]",0.0
76,"[650, 4.6]",0.0
77,"[650, 4.8]",0.0
78,"[650, 4.9]",0.0
79,"[660, 4.5]",0.0
80,"[660, 4.6]",0.0
81,"[660, 4.7]",0.0
82,"[660, 4.8]",0.0
83,"[660, 4.9]",0.0
84,"[670, 4.5]",0.0
85,"[670, 4.4]",0.0
86,"[670, 4.6]",0.0
87,"[670, 4.7]",0.0
88,"[670, 4.8]",0.0
89,"[670, 4.9]",0.0
90,"[680, 4.4]",0.0
91,"[680, 4.5]",0.0
92,"[680, 4.8]",0.0
93,"[680, 4.6]",0.0
94,"[680, 4.7]",0.0
95,"[680, 4.9]",0.0
96,"[690, 4.5]",0.0
97,"[690, 4.6]",0.0
98,"[690, 4.4]",0.0
99,"[690, 4.7]",0.0
100,"[690, 4.8]",0.0
101,"[690, 4.9]",0.0
102,"[700, 4.7]",0.0
103,"[700, 4.5]",0.0
104,"[700, 4.4]",0.0
105,"[700, 4.6]",0.0
106,"[700, 4.8]",0.0
107,"[700, 4.9]",0.0
108,"[710, 4.4]",0.0
109,"[710, 4.5]",0.0
110,"[710, 4.9]",0.0
111,"[710, 4.6]",0.0
112,"[710, 4.8]",0.0
113,"[710, 4.7]",0.0
114,"[720, 4.4]",0.0
115,"[720, 4.6]",0.0
116,"[720, 4.5]",0.0
117,"[720, 4.7]",0.0
118,"[720, 4.8]",0.0
119,"[720, 4.9]",0.0
120,"[730, 4.4]",0.0
121,"[730, 4.5]",0.0
122,"[730, 4.6]",0.0
123,"[730, 4.7]",0.0
124,"[730, 4.8]",0.0
125,"[730, 4.9]",0.0
126,"[740, 4.4]",0.0
127,"[740, 4.5]",0.0
128,"[740, 4.6]",0.0
129,"[740, 4.7]",0.0
130,"[740, 4.8]",0.0
131,"[740, 4.9]",0.0
132,"[750, 4.4]",0.0
133,"[750, 4.5]",0.0
134,"[750, 4.7]",0.0
135,"[750, 4.8]",0.0
136,"[750, 4.9]",0.0
137,"[750, 4.6]",0.0
138,"[760, 4.4]",0.0
139,"[760, 4.5]",0.0
140,"[760, 4.6]",0.0
141,"[760, 4.7]",0.0
142,"[760, 4.9]",0.0
143,"[760, 4.8]",0.0
144,"[770, 4.4]",0.0
145,"[770, 4.6]",0.0
146,"[770, 4.7]",0.0
147,"[770, 4.5]",0.0
148,"[770, 4.8]",0.0
149,"[770, 4.9]",0.0
150,"[780, 4.6]",0.0
151,"[780, 4.5]",0.0
152,"[780, 4.9]",0.0
153,"[780, 4.7]",0.0
154,"[780, 4.8]",0.0
155,"[790, 4.5]",0.0
156,"[790, 4.6]",0.0
157,"[790, 4.7]",0.0
158,"[790, 4.8]",0.0
159,"[790, 4.9]",0.0
160,"[800, 4.8]",0.0
161,"[800, 4.7]",0.0
162,"[800, 4.6]",0.0
163,"[800, 4.5]",0.0
164,"[800, 4.9]",0.0
165,"[810, 4.8]",0.0
166,"[810, 4.5]",0.0
167,"[810, 4.7]",0.0
168,"[810, 4.6]",0.0
169,"[810, 4.9]",0.0
170,"[820, 4.6]",0.0
171,"[820, 4.7]",0.0
172,"[820, 4.8]",0.0
173,"[820, 4.9]",0.0
174,"[830, 4.7]",0.0
175,"[830, 4.6]",0.0
176,"[830, 4.9]",0.0
177,"[830, 4.8]",0.0
178,"[840, 4.6]",0.0
179,"[840, 4.9]",0.0
180,"[840, 4.7]",0.0
181,"[840, 4.8]",0.0
182,"[850, 4.7]",0.0
183,"[850, 4.6]",0.0
184,"[850, 4.8]",0.0
185,"[850, 4.9]",0.0
186,"[860, 4.7]",0.0
187,"[860, 4.8]",0.0
