,param,equity_curve
0,"[10, 0.5]",4.286254502161585e-11
1,"[10, 0.6]",1.0307567253660126e-10
2,"[10, 0.7]",3.2074140983315736e-10
3,"[10, 0.8]",5.584180698523747e-10
4,"[10, 0.9]",1.3057631681553685e-09
5,"[10, 1.0]",3.7923294871367866e-09
6,"[10, 1.1]",9.245492525716495e-09
7,"[10, 1.2]",3.334229263559033e-08
8,"[10, 1.3]",4.924577076010412e-08
9,"[10, 1.4]",1.5002353444491803e-07
10,"[10, 1.5]",2.2283592434305013e-07
11,"[10, 1.6]",2.925163855673407e-07
12,"[10, 1.7]",7.789181286943435e-07
13,"[10, 1.8]",1.5805981764695723e-06
14,"[10, 1.9]",3.096366870146343e-06
15,"[20, 0.5]",8.033196446373294e-06
16,"[10, 2.0]",1.0473112090019119e-05
17,"[20, 0.6]",1.4988114103095837e-05
18,"[20, 0.7]",2.8088028893469258e-05
19,"[10, 2.1]",4.887561008392749e-05
20,"[20, 0.8]",4.902096933328028e-05
21,"[20, 0.9]",8.073887635840949e-05
22,"[30, 0.5]",0.0001294783049831338
23,"[20, 1.0]",0.00020455441044688082
24,"[40, 0.5]",0.00021769754333488702
25,"[30, 0.6]",0.00022597424381170267
26,"[20, 1.1]",0.0003444025561682331
27,"[20, 1.2]",0.0004363895094576731
28,"[20, 1.3]",0.0004481206417349174
29,"[30, 0.7]",0.0005054221376341012
30,"[20, 1.4]",0.000568175239132965
31,"[20, 1.8]",0.0006330327650154337
32,"[40, 0.6]",0.0006346875101301902
33,"[20, 1.5]",0.0007855221996649419
34,"[20, 1.9]",0.0008215193794117516
35,"[10, 2.2]",0.0008309147675489587
36,"[40, 0.7]",0.0008828830654344933
37,"[30, 1.0]",0.0008923528841360758
38,"[20, 1.7]",0.0009703051335711041
39,"[30, 1.1]",0.0010664253384060616
40,"[20, 1.6]",0.0011053419083732123
41,"[30, 0.9]",0.001132735320203591
42,"[30, 0.8]",0.001144986628864817
43,"[50, 0.5]",0.0012409335738291585
44,"[50, 0.6]",0.001338711341730769
45,"[50, 0.7]",0.0017757444753716545
46,"[40, 0.9]",0.0019323095481232908
47,"[40, 0.8]",0.0022962024322456115
48,"[10, 2.3]",0.0023842457061774196
49,"[40, 1.1]",0.0024087200419660067
50,"[60, 0.5]",0.0024364527562973823
51,"[40, 1.0]",0.002485225629946606
52,"[30, 1.2]",0.002499453878300991
53,"[40, 1.3]",0.002551110511734916
54,"[20, 2.0]",0.002692710701202039
55,"[30, 2.0]",0.002862997138781147
56,"[50, 0.8]",0.003195579338474544
57,"[30, 1.9]",0.0032852391529132234
58,"[40, 1.2]",0.003312069084191665
59,"[40, 1.4]",0.0033176433690290438
60,"[40, 1.5]",0.003369154966511243
61,"[30, 2.1]",0.0034179776802999487
62,"[40, 1.6]",0.003690183525451562
63,"[40, 1.7]",0.003945438424657189
64,"[20, 2.2]",0.004008991060495851
65,"[30, 1.8]",0.004139784784932456
66,"[20, 2.1]",0.004162951603414775
67,"[60, 0.6]",0.004278530585542174
68,"[30, 1.7]",0.0046930138608045745
69,"[30, 1.6]",0.004719974078193719
70,"[30, 1.5]",0.004750856826280911
71,"[40, 1.8]",0.004779571583071336
72,"[50, 0.9]",0.005001700687612289
73,"[30, 1.3]",0.005114618343853021
74,"[30, 1.4]",0.005711531540449977
75,"[70, 0.5]",0.0058754307990159455
76,"[30, 2.2]",0.006708126360489103
77,"[60, 0.7]",0.007387200629883041
78,"[50, 1.0]",0.007412536449522605
79,"[20, 2.3]",0.007721542973680059
80,"[50, 1.1]",0.008751666324312157
81,"[40, 1.9]",0.008919304268745197
82,"[70, 0.6]",0.011786206156638468
83,"[30, 2.3]",0.012940003589911805
84,"[60, 0.8]",0.013265359444187691
85,"[60, 0.9]",0.014621376655441241
86,"[60, 1.1]",0.015392685509082184
87,"[60, 1.0]",0.016409882214576205
88,"[30, 2.4]",0.016526564077574024
89,"[30, 2.5]",0.017474816647673575
90,"[70, 0.7]",0.01773565278027122
91,"[50, 1.2]",0.017831290546151953
92,"[30, 2.7]",0.01810434774629793
93,"[30, 2.8]",0.01882812652000223
94,"[20, 2.4]",0.019595533331355473
95,"[30, 3.0]",0.019624769813429397
96,"[50, 1.5]",0.019681856984257822
97,"[50, 1.3]",0.02003512564839519
98,"[40, 2.0]",0.020303998849878328
99,"[50, 1.7]",0.020794582812243542
100,"[50, 1.6]",0.020976904624945374
101,"[20, 2.6]",0.02201900726460251
102,"[70, 0.8]",0.023523031023346685
103,"[30, 2.9]",0.024875037503137003
104,"[10, 2.4]",0.026427404246315726
105,"[70, 0.9]",0.026883494954932557
106,"[30, 2.6]",0.028016467658525106
107,"[50, 1.4]",0.02882776185835518
108,"[20, 2.5]",0.03177833957478888
109,"[70, 1.0]",0.03227328721240235
110,"[60, 1.2]",0.032881403190779715
111,"[80, 0.6]",0.03293534485427305
112,"[70, 1.3]",0.03309758512636942
113,"[80, 0.5]",0.035823431428354965
114,"[120, 0.5]",0.037523456971896615
115,"[100, 0.5]",0.03767783308796851
116,"[40, 2.1]",0.037837206302248495
117,"[20, 2.7]",0.038407078552912546
118,"[60, 1.3]",0.03921879478950298
119,"[90, 0.5]",0.04000767456513967
120,"[50, 1.8]",0.04100051128082272
121,"[70, 1.1]",0.04573176271829148
122,"[60, 1.4]",0.04586866995101339
123,"[20, 2.9]",0.04659125981974552
124,"[50, 1.9]",0.05006805043538115
125,"[100, 0.6]",0.05082044170441987
126,"[70, 1.2]",0.05119279168681811
127,"[110, 0.5]",0.05233421934821039
128,"[120, 0.6]",0.05283842444563291
129,"[20, 2.8]",0.054867266108792175
130,"[40, 2.2]",0.05634823940748229
131,"[40, 2.3]",0.05869754295383336
132,"[50, 2.0]",0.05903159534711475
133,"[90, 0.6]",0.06772553007497996
134,"[40, 2.4]",0.07244029782021792
135,"[150, 0.5]",0.0758095011081056
136,"[40, 2.6]",0.08366206396601361
137,"[120, 0.8]",0.08403418451989794
138,"[110, 0.6]",0.08584702754225253
139,"[150, 0.6]",0.08800854706506894
140,"[130, 0.5]",0.08832242860153276
141,"[130, 0.8]",0.0888684603325021
142,"[120, 0.7]",0.09066152429751885
143,"[50, 2.1]",0.09245731176629642
144,"[30, 3.1]",0.09254613511875172
145,"[140, 0.5]",0.0927827779844461
146,"[90, 0.7]",0.09426431107675594
147,"[120, 0.9]",0.09444855299788182
148,"[80, 0.7]",0.09759035366812856
149,"[20, 3.0]",0.09993478731884702
150,"[130, 0.9]",0.10150293400767484
151,"[60, 1.5]",0.10169834875329763
152,"[160, 0.5]",0.10258657256662929
