,equity_curve,param
0,"[160, 4.1, 0.1]",0.0
1,"[160, 4.1, 0.4]",0.0
2,"[160, 4.1, 0.2]",0.0
3,"[160, 4.1, 0.3]",0.0
4,"[160, 4.1, 0.5]",0.0
5,"[160, 4.1, 0.6]",0.0
6,"[160, 4.1, 0.7]",0.0
7,"[160, 4.1, 0.8]",0.0
8,"[160, 4.1, 0.9]",0.0
9,"[170, 4.1, 0.1]",0.0
10,"[170, 4.1, 0.2]",0.0
11,"[170, 4.1, 0.3]",0.0
12,"[170, 4.1, 0.5]",0.0
13,"[170, 4.1, 0.4]",0.0
14,"[170, 4.1, 0.6]",0.0
15,"[170, 4.1, 0.8]",0.0
16,"[170, 4.1, 0.7]",0.0
17,"[170, 4.1, 0.9]",0.0
18,"[180, 4.2, 0.2]",0.0
19,"[180, 4.2, 0.1]",0.0
20,"[180, 4.2, 0.3]",0.0
21,"[180, 4.2, 0.4]",0.0
22,"[180, 4.2, 0.6]",0.0
23,"[180, 4.2, 0.5]",0.0
24,"[180, 4.2, 0.7]",0.0
25,"[180, 4.2, 0.8]",0.0
26,"[180, 4.2, 0.9]",0.0
27,"[430, 4.9, 0.2]",0.0
28,"[430, 4.9, 0.1]",0.0
29,"[430, 4.9, 0.7]",0.0
30,"[430, 4.9, 0.3]",0.0
31,"[430, 4.9, 0.6]",0.0
32,"[430, 4.9, 0.4]",0.0
33,"[430, 4.9, 0.5]",0.0
34,"[430, 4.9, 0.8]",0.0
35,"[430, 4.9, 0.9]",0.0
36,"[440, 4.8, 0.1]",0.0
37,"[440, 4.8, 0.2]",0.0
38,"[440, 4.8, 0.3]",0.0
39,"[440, 4.8, 0.4]",0.0
40,"[440, 4.8, 0.5]",0.0
41,"[440, 4.8, 0.6]",0.0
42,"[440, 4.8, 0.9]",0.0
43,"[440, 4.8, 0.8]",0.0
44,"[440, 4.8, 0.7]",0.0
45,"[440, 4.9, 0.1]",0.0
46,"[440, 4.9, 0.2]",0.0
47,"[440, 4.9, 0.4]",0.0
48,"[440, 4.9, 0.3]",0.0
49,"[440, 4.9, 0.5]",0.0
50,"[440, 4.9, 0.6]",0.0
51,"[440, 4.9, 0.7]",0.0
52,"[440, 4.9, 0.8]",0.0
53,"[440, 4.9, 0.9]",0.0
54,"[450, 4.8, 0.1]",0.0
55,"[450, 4.8, 0.2]",0.0
56,"[450, 4.8, 0.3]",0.0
57,"[450, 4.8, 0.4]",0.0
58,"[450, 4.8, 0.5]",0.0
59,"[450, 4.8, 0.6]",0.0
60,"[450, 4.8, 0.8]",0.0
61,"[450, 4.8, 0.7]",0.0
62,"[450, 4.8, 0.9]",0.0
63,"[450, 4.9, 0.1]",0.0
64,"[450, 4.9, 0.2]",0.0
65,"[450, 4.9, 0.4]",0.0
66,"[450, 4.9, 0.3]",0.0
67,"[450, 4.9, 0.5]",0.0
68,"[450, 4.9, 0.6]",0.0
69,"[450, 4.9, 0.8]",0.0
70,"[450, 4.9, 0.7]",0.0
71,"[450, 4.9, 0.9]",0.0
72,"[460, 4.8, 0.1]",0.0
73,"[460, 4.8, 0.3]",0.0
74,"[460, 4.8, 0.2]",0.0
75,"[460, 4.8, 0.4]",0.0
76,"[460, 4.8, 0.5]",0.0
77,"[460, 4.8, 0.6]",0.0
78,"[460, 4.8, 0.7]",0.0
79,"[460, 4.8, 0.8]",0.0
80,"[460, 4.8, 0.9]",0.0
81,"[460, 4.9, 0.1]",0.0
82,"[460, 4.9, 0.2]",0.0
83,"[460, 4.9, 0.3]",0.0
84,"[460, 4.9, 0.4]",0.0
85,"[460, 4.9, 0.5]",0.0
86,"[460, 4.9, 0.6]",0.0
87,"[460, 4.9, 0.7]",0.0
88,"[460, 4.9, 0.8]",0.0
89,"[460, 4.9, 0.9]",0.0
90,"[470, 4.8, 0.1]",0.0
91,"[470, 4.8, 0.2]",0.0
92,"[470, 4.8, 0.3]",0.0
93,"[470, 4.8, 0.4]",0.0
94,"[470, 4.8, 0.5]",0.0
95,"[470, 4.8, 0.6]",0.0
96,"[470, 4.8, 0.7]",0.0
97,"[470, 4.8, 0.8]",0.0
98,"[470, 4.9, 0.3]",0.0
99,"[470, 4.9, 0.1]",0.0
100,"[470, 4.8, 0.9]",0.0
101,"[470, 4.9, 0.2]",0.0
102,"[470, 4.9, 0.4]",0.0
103,"[470, 4.9, 0.5]",0.0
104,"[470, 4.9, 0.6]",0.0
105,"[470, 4.9, 0.7]",0.0
106,"[470, 4.9, 0.8]",0.0
107,"[470, 4.9, 0.9]",0.0
108,"[480, 4.7, 0.1]",0.0
109,"[480, 4.7, 0.2]",0.0
110,"[480, 4.7, 0.3]",0.0
111,"[480, 4.7, 0.4]",0.0
112,"[480, 4.7, 0.5]",0.0
113,"[480, 4.7, 0.7]",0.0
114,"[480, 4.7, 0.6]",0.0
115,"[480, 4.8, 0.1]",0.0
116,"[480, 4.7, 0.8]",0.0
117,"[480, 4.7, 0.9]",0.0
118,"[480, 4.8, 0.2]",0.0
119,"[480, 4.8, 0.3]",0.0
120,"[480, 4.8, 0.5]",0.0
121,"[480, 4.8, 0.4]",0.0
122,"[480, 4.8, 0.6]",0.0
123,"[480, 4.8, 0.8]",0.0
124,"[480, 4.8, 0.7]",0.0
125,"[480, 4.8, 0.9]",0.0
126,"[480, 4.9, 0.2]",0.0
127,"[480, 4.9, 0.1]",0.0
128,"[480, 4.9, 0.3]",0.0
129,"[480, 4.9, 0.5]",0.0
130,"[480, 4.9, 0.7]",0.0
131,"[480, 4.9, 0.6]",0.0
132,"[480, 4.9, 0.8]",0.0
133,"[480, 4.9, 0.4]",0.0
134,"[480, 4.9, 0.9]",0.0
135,"[490, 4.7, 0.1]",0.0
136,"[490, 4.7, 0.2]",0.0
137,"[490, 4.7, 0.3]",0.0
138,"[490, 4.7, 0.4]",0.0
139,"[490, 4.7, 0.5]",0.0
140,"[490, 4.7, 0.6]",0.0
141,"[490, 4.7, 0.7]",0.0
142,"[490, 4.7, 0.8]",0.0
143,"[490, 4.8, 0.1]",0.0
144,"[490, 4.7, 0.9]",0.0
145,"[490, 4.8, 0.3]",0.0
146,"[490, 4.8, 0.2]",0.0
147,"[490, 4.8, 0.4]",0.0
148,"[490, 4.8, 0.5]",0.0
149,"[490, 4.8, 0.6]",0.0
150,"[490, 4.8, 0.7]",0.0
151,"[490, 4.8, 0.8]",0.0
152,"[490, 4.8, 0.9]",0.0
153,"[490, 4.9, 0.1]",0.0
154,"[490, 4.9, 0.2]",0.0
155,"[490, 4.9, 0.3]",0.0
156,"[490, 4.9, 0.4]",0.0
157,"[490, 4.9, 0.5]",0.0
158,"[490, 4.9, 0.7]",0.0
159,"[490, 4.9, 0.8]",0.0
160,"[490, 4.9, 0.6]",0.0
161,"[490, 4.9, 0.9]",0.0
162,"[500, 4.7, 0.1]",0.0
163,"[500, 4.7, 0.2]",0.0
164,"[500, 4.7, 0.4]",0.0
165,"[500, 4.7, 0.3]",0.0
166,"[500, 4.7, 0.5]",0.0
167,"[500, 4.7, 0.7]",0.0
168,"[500, 4.7, 0.6]",0.0
169,"[500, 4.7, 0.8]",0.0
170,"[500, 4.8, 0.3]",0.0
171,"[500, 4.7, 0.9]",0.0
172,"[500, 4.8, 0.1]",0.0
173,"[500, 4.8, 0.2]",0.0
174,"[500, 4.8, 0.9]",0.0
175,"[500, 4.8, 0.4]",0.0
176,"[500, 4.8, 0.5]",0.0
177,"[500, 4.8, 0.6]",0.0
178,"[500, 4.8, 0.7]",0.0
179,"[500, 4.8, 0.8]",0.0
180,"[500, 4.9, 0.1]",0.0
181,"[500, 4.9, 0.2]",0.0
182,"[500, 4.9, 0.3]",0.0
183,"[500, 4.9, 0.4]",0.0
184,"[500, 4.9, 0.5]",0.0
185,"[500, 4.9, 0.6]",0.0
186,"[500, 4.9, 0.7]",0.0
187,"[500, 4.9, 0.8]",0.0
188,"[500, 4.9, 0.9]",0.0
189,"[510, 4.8, 0.2]",0.0
190,"[510, 4.8, 0.1]",0.0
191,"[510, 4.8, 0.3]",0.0
192,"[510, 4.8, 0.4]",0.0
193,"[510, 4.8, 0.5]",0.0
194,"[510, 4.8, 0.6]",0.0
195,"[510, 4.9, 0.2]",0.0
196,"[510, 4.8, 0.9]",0.0
197,"[510, 4.8, 0.8]",0.0
198,"[510, 4.8, 0.7]",0.0
199,"[510, 4.9, 0.1]",0.0
200,"[510, 4.9, 0.4]",0.0
201,"[510, 4.9, 0.5]",0.0
202,"[510, 4.9, 0.3]",0.0
203,"[510, 4.9, 0.6]",0.0
204,"[510, 4.9, 0.7]",0.0
205,"[510, 4.9, 0.9]",0.0
206,"[510, 4.9, 0.8]",0.0
207,"[520, 4.7, 0.1]",0.0
208,"[520, 4.7, 0.2]",0.0
209,"[520, 4.7, 0.3]",0.0
210,"[520, 4.7, 0.4]",0.0
211,"[520, 4.7, 0.5]",0.0
212,"[520, 4.7, 0.6]",0.0
213,"[520, 4.7, 0.7]",0.0
214,"[520, 4.7, 0.8]",0.0
215,"[520, 4.7, 0.9]",0.0
216,"[520, 4.8, 0.1]",0.0
217,"[520, 4.8, 0.2]",0.0
218,"[520, 4.8, 0.5]",0.0
219,"[520, 4.8, 0.4]",0.0
220,"[520, 4.8, 0.3]",0.0
221,"[520, 4.8, 0.6]",0.0
222,"[520, 4.8, 0.8]",0.0
223,"[520, 4.8, 0.7]",0.0
224,"[520, 4.8, 0.9]",0.0
225,"[520, 4.9, 0.1]",0.0
226,"[520, 4.9, 0.2]",0.0
227,"[520, 4.9, 0.3]",0.0
228,"[520, 4.9, 0.4]",0.0
229,"[520, 4.9, 0.8]",0.0
230,"[520, 4.9, 0.7]",0.0
231,"[520, 4.9, 0.5]",0.0
232,"[520, 4.9, 0.6]",0.0
233,"[520, 4.9, 0.9]",0.0
234,"[530, 4.7, 0.1]",0.0
235,"[530, 4.7, 0.3]",0.0
236,"[530, 4.7, 0.4]",0.0
237,"[530, 4.7, 0.2]",0.0
238,"[530, 4.7, 0.7]",0.0
239,"[530, 4.7, 0.6]",0.0
240,"[530, 4.7, 0.5]",0.0
241,"[530, 4.7, 0.8]",0.0
242,"[530, 4.7, 0.9]",0.0
243,"[530, 4.8, 0.1]",0.0
244,"[530, 4.8, 0.2]",0.0
