,equity_curve,param
0,"[350, 3.2, 0.1]",0.0
1,"[350, 3.2, 0.2]",0.0
2,"[350, 3.2, 0.3]",0.0
3,"[350, 3.2, 0.5]",0.0
4,"[350, 3.2, 0.4]",0.0
5,"[350, 3.2, 0.6]",0.0
6,"[350, 3.2, 0.7]",0.0
7,"[350, 3.2, 0.8]",0.0
8,"[350, 3.2, 0.9]",0.0
9,"[350, 3.3, 0.1]",0.0
10,"[350, 3.3, 0.2]",0.0
11,"[350, 3.3, 0.3]",0.0
12,"[350, 3.3, 0.4]",0.0
13,"[350, 3.3, 0.5]",0.0
14,"[350, 3.3, 0.6]",0.0
15,"[350, 3.4, 0.1]",0.0
16,"[350, 3.3, 0.7]",0.0
17,"[350, 3.3, 0.8]",0.0
18,"[350, 3.3, 0.9]",0.0
19,"[350, 3.4, 0.2]",0.0
20,"[350, 3.4, 0.3]",0.0
21,"[350, 3.4, 0.4]",0.0
22,"[350, 3.4, 0.5]",0.0
23,"[350, 3.4, 0.7]",0.0
24,"[350, 3.4, 0.6]",0.0
25,"[350, 3.4, 0.8]",0.0
26,"[350, 3.4, 0.9]",0.0
27,"[350, 3.5, 0.2]",0.0
28,"[350, 3.5, 0.1]",0.0
29,"[350, 3.5, 0.3]",0.0
30,"[350, 3.5, 0.4]",0.0
31,"[350, 3.5, 0.5]",0.0
32,"[350, 3.5, 0.6]",0.0
33,"[350, 3.5, 0.8]",0.0
34,"[350, 3.5, 0.7]",0.0
35,"[350, 3.6, 0.3]",0.0
36,"[350, 3.6, 0.1]",0.0
37,"[350, 3.6, 0.2]",0.0
38,"[350, 3.5, 0.9]",0.0
39,"[350, 3.6, 0.4]",0.0
40,"[350, 3.6, 0.5]",0.0
41,"[350, 3.6, 0.6]",0.0
42,"[350, 3.6, 0.7]",0.0
43,"[350, 3.6, 0.9]",0.0
44,"[350, 3.6, 0.8]",0.0
45,"[350, 3.7, 0.2]",0.0
46,"[350, 3.7, 0.1]",0.0
47,"[350, 3.7, 0.4]",0.0
48,"[350, 3.7, 0.3]",0.0
49,"[350, 3.7, 0.5]",0.0
50,"[350, 3.7, 0.6]",0.0
51,"[350, 3.7, 0.7]",0.0
52,"[350, 3.7, 0.9]",0.0
53,"[350, 3.7, 0.8]",0.0
54,"[350, 3.8, 0.1]",0.0
55,"[350, 3.8, 0.2]",0.0
56,"[350, 3.8, 0.3]",0.0
57,"[350, 3.8, 0.4]",0.0
58,"[350, 3.8, 0.6]",0.0
59,"[350, 3.8, 0.5]",0.0
60,"[350, 3.8, 0.7]",0.0
61,"[350, 3.8, 0.9]",0.0
62,"[350, 3.8, 0.8]",0.0
63,"[350, 3.9, 0.1]",0.0
64,"[350, 3.9, 0.3]",0.0
65,"[350, 3.9, 0.2]",0.0
66,"[350, 3.9, 0.5]",0.0
67,"[350, 3.9, 0.4]",0.0
68,"[350, 3.9, 0.7]",0.0
69,"[350, 3.9, 0.6]",0.0
70,"[350, 3.9, 0.8]",0.0
71,"[350, 3.9, 0.9]",0.0
72,"[350, 4.0, 0.1]",0.0
73,"[350, 4.0, 0.3]",0.0
74,"[350, 4.0, 0.2]",0.0
75,"[350, 4.0, 0.4]",0.0
76,"[350, 4.0, 0.5]",0.0
77,"[350, 4.0, 0.6]",0.0
78,"[350, 4.0, 0.9]",0.0
79,"[350, 4.0, 0.8]",0.0
80,"[350, 4.0, 0.7]",0.0
81,"[350, 4.1, 0.1]",0.0
82,"[350, 4.1, 0.3]",0.0
83,"[350, 4.1, 0.2]",0.0
84,"[350, 4.1, 0.5]",0.0
85,"[350, 4.1, 0.4]",0.0
86,"[350, 4.1, 0.6]",0.0
87,"[350, 4.1, 0.7]",0.0
88,"[350, 4.1, 0.8]",0.0
89,"[350, 4.1, 0.9]",0.0
90,"[350, 4.2, 0.1]",0.0
91,"[350, 4.2, 0.2]",0.0
92,"[350, 4.2, 0.3]",0.0
93,"[350, 4.2, 0.4]",0.0
94,"[350, 4.2, 0.5]",0.0
95,"[350, 4.2, 0.6]",0.0
96,"[350, 4.2, 0.7]",0.0
97,"[350, 4.3, 0.2]",0.0
98,"[350, 4.2, 0.9]",0.0
99,"[350, 4.2, 0.8]",0.0
100,"[350, 4.3, 0.1]",0.0
101,"[350, 4.3, 0.3]",0.0
102,"[350, 4.3, 0.4]",0.0
103,"[350, 4.3, 0.5]",0.0
104,"[350, 4.3, 0.7]",0.0
105,"[350, 4.3, 0.6]",0.0
106,"[350, 4.3, 0.8]",0.0
107,"[350, 4.3, 0.9]",0.0
108,"[350, 4.4, 0.1]",0.0
109,"[350, 4.4, 0.2]",0.0
110,"[350, 4.4, 0.3]",0.0
111,"[350, 4.4, 0.4]",0.0
112,"[350, 4.4, 0.5]",0.0
113,"[350, 4.4, 0.7]",0.0
114,"[350, 4.4, 0.6]",0.0
115,"[350, 4.4, 0.8]",0.0
116,"[350, 4.4, 0.9]",0.0
117,"[360, 3.2, 0.1]",0.0
118,"[360, 3.2, 0.3]",0.0
119,"[360, 3.2, 0.2]",0.0
120,"[360, 3.2, 0.4]",0.0
121,"[360, 3.2, 0.6]",0.0
122,"[360, 3.2, 0.5]",0.0
123,"[360, 3.2, 0.7]",0.0
124,"[360, 3.2, 0.8]",0.0
125,"[360, 3.2, 0.9]",0.0
126,"[360, 3.3, 0.1]",0.0
127,"[360, 3.3, 0.2]",0.0
128,"[360, 3.3, 0.3]",0.0
129,"[360, 3.3, 0.7]",0.0
130,"[360, 3.3, 0.5]",0.0
131,"[360, 3.3, 0.4]",0.0
132,"[360, 3.3, 0.6]",0.0
133,"[360, 3.3, 0.8]",0.0
134,"[360, 3.4, 0.2]",0.0
135,"[360, 3.3, 0.9]",0.0
136,"[360, 3.4, 0.1]",0.0
137,"[360, 3.4, 0.3]",0.0
138,"[360, 3.4, 0.4]",0.0
139,"[360, 3.4, 0.6]",0.0
140,"[360, 3.4, 0.5]",0.0
141,"[360, 3.4, 0.7]",0.0
142,"[360, 3.4, 0.8]",0.0
143,"[360, 3.4, 0.9]",0.0
144,"[360, 3.5, 0.1]",0.0
145,"[360, 3.5, 0.2]",0.0
146,"[360, 3.5, 0.3]",0.0
147,"[360, 3.5, 0.4]",0.0
148,"[360, 3.5, 0.5]",0.0
149,"[360, 3.5, 0.6]",0.0
150,"[360, 3.5, 0.7]",0.0
151,"[360, 3.5, 0.8]",0.0
152,"[360, 3.5, 0.9]",0.0
153,"[360, 3.6, 0.1]",0.0
154,"[360, 3.6, 0.2]",0.0
155,"[360, 3.6, 0.4]",0.0
156,"[360, 3.6, 0.3]",0.0
157,"[360, 3.6, 0.5]",0.0
158,"[360, 3.6, 0.9]",0.0
159,"[360, 3.6, 0.7]",0.0
160,"[360, 3.6, 0.6]",0.0
161,"[360, 3.6, 0.8]",0.0
162,"[360, 3.7, 0.2]",0.0
163,"[360, 3.7, 0.1]",0.0
164,"[360, 3.7, 0.3]",0.0
