,equity_curve,param
0,"[860, 4.8, 0.1]",0.0
1,"[860, 4.8, 0.2]",0.0
2,"[860, 4.8, 0.3]",0.0
3,"[860, 4.8, 0.4]",0.0
4,"[860, 4.8, 0.5]",0.0
5,"[860, 4.8, 0.6]",0.0
6,"[860, 4.8, 0.7]",0.0
7,"[860, 4.8, 0.8]",0.0
8,"[860, 4.8, 0.9]",0.0
9,"[880, 4.7, 0.1]",0.0
10,"[880, 4.7, 0.2]",0.0
11,"[880, 4.7, 0.3]",0.0
12,"[880, 4.7, 0.4]",0.0
13,"[880, 4.7, 0.5]",0.0
14,"[880, 4.7, 0.6]",0.0
15,"[880, 4.7, 0.8]",0.0
16,"[880, 4.7, 0.7]",0.0
17,"[880, 4.7, 0.9]",0.0
18,"[890, 4.7, 0.1]",0.0
19,"[890, 4.7, 0.2]",0.0
20,"[890, 4.7, 0.3]",0.0
21,"[890, 4.7, 0.4]",0.0
22,"[890, 4.7, 0.5]",0.0
23,"[890, 4.7, 0.6]",0.0
24,"[890, 4.7, 0.8]",0.0
25,"[890, 4.7, 0.7]",0.0
26,"[890, 4.7, 0.9]",0.0
27,"[920, 4.6, 0.1]",0.0
28,"[920, 4.6, 0.3]",0.0
29,"[920, 4.6, 0.2]",0.0
30,"[920, 4.6, 0.5]",0.0
31,"[920, 4.6, 0.4]",0.0
32,"[920, 4.6, 0.6]",0.0
33,"[920, 4.6, 0.7]",0.0
34,"[920, 4.6, 0.8]",0.0
35,"[920, 4.6, 0.9]",0.0
36,"[930, 4.6, 0.1]",0.0
37,"[930, 4.6, 0.2]",0.0
38,"[930, 4.6, 0.3]",0.0
39,"[930, 4.6, 0.4]",0.0
40,"[930, 4.6, 0.9]",0.0
41,"[930, 4.6, 0.5]",0.0
42,"[930, 4.6, 0.6]",0.0
43,"[930, 4.6, 0.7]",0.0
44,"[930, 4.6, 0.8]",0.0
45,"[940, 4.6, 0.1]",0.0
46,"[940, 4.6, 0.5]",0.0
47,"[940, 4.6, 0.2]",0.0
48,"[940, 4.6, 0.3]",0.0
49,"[940, 4.6, 0.4]",0.0
50,"[940, 4.6, 0.6]",0.0
51,"[940, 4.6, 0.7]",0.0
52,"[940, 4.6, 0.8]",0.0
53,"[940, 4.6, 0.9]",0.0
