,para,equity_curve
2595,"[580, 3.5]",4.276306715530119
2639,"[590, 3.4]",4.26618335813822
2640,"[590, 3.5]",3.886979997804922
2729,"[610, 3.4]",3.3113929588611177
2685,"[600, 3.5]",3.1575541135018073
2774,"[620, 3.4]",2.993758492337427
2684,"[600, 3.4]",2.9051640384284805
2158,"[480, 4.8]",2.4614694915770503
2157,"[480, 4.7]",2.4546929263533848
2330,"[520, 4.0]",2.422209613648161
2819,"[630, 3.4]",2.400729600114532
2285,"[510, 4.0]",2.390119569818508
2773,"[620, 3.3]",2.383809285007187
2152,"[480, 4.2]",2.375526540462479
2953,"[660, 3.3]",2.3486760002836453
2155,"[480, 4.5]",2.3433112010107475
2730,"[610, 3.5]",2.340883970513547
2818,"[630, 3.3]",2.332721238735055
2202,"[490, 4.7]",2.323896085135642
2728,"[610, 3.3]",2.3013736869360755
2641,"[590, 3.6]",2.2077844996665235
2563,"[570, 4.8]",2.172006421133626
2519,"[560, 4.9]",2.172006421133626
2564,"[570, 4.9]",2.172006421133626
2864,"[640, 3.4]",2.1699196628629154
2201,"[490, 4.6]",2.1384848688405196
2024,"[450, 4.9]",2.1328888424546975
2154,"[480, 4.4]",2.086925845108864
2156,"[480, 4.6]",2.056559948612344
3508,"[780, 4.8]",2.0359848038936796
2107,"[470, 4.2]",2.02717206552404
2063,"[460, 4.3]",2.0233641111770746
2069,"[460, 4.9]",2.0052164663078362
2908,"[650, 3.3]",1.99731570114983
2338,"[520, 4.8]",1.9887315730086985
2744,"[610, 4.9]",1.9807669890405069
2699,"[600, 4.9]",1.9746176720941093
2609,"[580, 4.9]",1.9535805351721898
2608,"[580, 4.8]",1.9535805351721898
2654,"[590, 4.9]",1.9535805351721898
2653,"[590, 4.8]",1.9535805351721898
1979,"[440, 4.9]",1.9358882490131006
2065,"[460, 4.5]",1.9316437167279692
2429,"[540, 4.9]",1.9303018720710945
2552,"[570, 3.7]",1.926200952225623
2064,"[460, 4.4]",1.9232873292354986
2114,"[470, 4.9]",1.9185958965643455
3373,"[750, 4.8]",1.9112459781043283
2108,"[470, 4.3]",1.910604438832169
2197,"[490, 4.2]",1.9027045674422272
3509,"[780, 4.9]",1.90193485747211
3554,"[790, 4.9]",1.90193485747211
3599,"[800, 4.9]",1.8965791731833488
2200,"[490, 4.5]",1.86504602672529
2292,"[510, 4.7]",1.86429132280165
2293,"[510, 4.8]",1.86429132280165
1978,"[440, 4.8]",1.8610875890427336
2248,"[500, 4.8]",1.8547094203871115
2247,"[500, 4.7]",1.8547094203871115
2246,"[500, 4.6]",1.8547094203871115
2789,"[620, 4.9]",1.8485458923371272
2337,"[520, 4.7]",1.8176520855179945
2743,"[610, 4.8]",1.8112170728022763
2021,"[450, 4.6]",1.8091843245773198
2698,"[600, 4.8]",1.8080329763469665
2383,"[530, 4.8]",1.7999670245598782
2159,"[480, 4.9]",1.7966438440521286
2428,"[540, 4.8]",1.786587956566882
2472,"[550, 4.7]",1.7819534789691656
3374,"[750, 4.9]",1.7778969492291425
2022,"[450, 4.7]",1.7581583532317555
3418,"[760, 4.8]",1.7529548521026437
2153,"[480, 4.3]",1.7519260350049048
2339,"[520, 4.9]",1.7454671618004607
2863,"[640, 3.3]",1.7383634929982539
2203,"[490, 4.8]",1.7302099363914223
3463,"[770, 4.8]",1.726984137232572
3464,"[770, 4.9]",1.726984137232572
2112,"[470, 4.7]",1.7056209809632465
2834,"[630, 4.9]",1.700652572697722
2109,"[470, 4.4]",1.6982599252878432
2998,"[670, 3.3]",1.6825896357971795
2110,"[470, 4.5]",1.680455212664287
2878,"[640, 4.8]",1.6778981777101158
2879,"[640, 4.9]",1.6778981777101158
2242,"[500, 4.2]",1.6736179194989715
3419,"[760, 4.9]",1.6726808102129385
3329,"[740, 4.9]",1.6724549855637034
2019,"[450, 4.4]",1.6680139683006383
2382,"[530, 4.7]",1.6451258985671908
2199,"[490, 4.4]",1.6440789992615015
2111,"[470, 4.6]",1.6432857033064519
