,param,equity_curve
0,"[10, 0.5, 0.4]",1.7015138193555e-72
1,"[10, 0.5, 0.3]",1.7015138193555e-72
2,"[10, 0.5, 0.8]",1.7015138193555e-72
3,"[10, 0.5, 0.6]",1.7015138193555e-72
4,"[10, 0.5, 0.5]",1.7015138193555e-72
5,"[10, 0.5, 0.7]",1.7015138193555e-72
6,"[10, 0.5, 0.2]",1.7015138193555e-72
7,"[10, 0.5, 0.1]",1.7015138193555e-72
8,"[10, 0.5, 0.9]",1.7015138193555e-72
9,"[10, 0.6, 0.1]",3.288689390960396e-65
10,"[10, 0.6, 0.2]",3.288689390960396e-65
11,"[10, 0.6, 0.5]",3.288689390960396e-65
12,"[10, 0.6, 0.3]",3.288689390960396e-65
13,"[10, 0.6, 0.6]",3.288689390960396e-65
14,"[10, 0.6, 0.4]",3.288689390960396e-65
15,"[10, 0.6, 0.7]",3.288689390960396e-65
16,"[10, 0.6, 0.9]",3.288689390960396e-65
17,"[10, 0.6, 0.8]",3.288689390960396e-65
18,"[10, 0.7, 0.1]",2.9904854549593914e-58
19,"[10, 0.7, 0.2]",2.9904854549593914e-58
20,"[10, 0.7, 0.4]",2.9904854549593914e-58
21,"[10, 0.7, 0.5]",2.9904854549593914e-58
22,"[10, 0.7, 0.3]",2.9904854549593914e-58
23,"[10, 0.7, 0.6]",2.9904854549593914e-58
24,"[10, 0.7, 0.8]",2.9904854549593914e-58
25,"[10, 0.7, 0.7]",2.9904854549593914e-58
26,"[10, 0.7, 0.9]",2.9904854549593914e-58
27,"[10, 0.8, 0.4]",4.9515098421161964e-52
28,"[10, 0.8, 0.2]",4.9515098421161964e-52
29,"[10, 0.8, 0.5]",4.9515098421161964e-52
30,"[10, 0.8, 0.1]",4.9515098421161964e-52
31,"[10, 0.8, 0.3]",4.9515098421161964e-52
32,"[10, 0.8, 0.8]",4.9515098421161964e-52
33,"[10, 0.8, 0.7]",4.9515098421161964e-52
34,"[10, 0.8, 0.9]",4.9515098421161964e-52
35,"[10, 0.8, 0.6]",4.9515098421161964e-52
36,"[10, 0.9, 0.1]",7.406301076259529e-46
37,"[10, 0.9, 0.2]",7.406301076259529e-46
38,"[10, 0.9, 0.3]",7.406301076259529e-46
39,"[10, 0.9, 0.4]",7.406301076259529e-46
40,"[10, 0.9, 0.6]",7.406301076259529e-46
41,"[10, 0.9, 0.8]",7.406301076259529e-46
42,"[10, 0.9, 0.7]",7.406301076259529e-46
43,"[10, 0.9, 0.5]",7.406301076259529e-46
44,"[10, 0.9, 0.9]",7.406301076259529e-46
