,param,equity_curve
0,"[10, 0.5, 0.5]",7.346453243942522e-14
1,"[10, 0.5, 0.6]",7.346453243942522e-14
2,"[10, 0.5, 0.2]",7.346453243942522e-14
3,"[10, 0.5, 0.3]",7.346453243942522e-14
4,"[10, 0.5, 0.1]",7.346453243942522e-14
5,"[10, 0.5, 0.7]",7.346453243942522e-14
6,"[10, 0.5, 0.8]",7.346453243942522e-14
7,"[10, 0.5, 0.4]",7.346453243942522e-14
8,"[10, 0.5, 0.9]",7.346453243942522e-14
9,"[10, 0.6, 0.1]",7.890549719115632e-12
10,"[10, 0.6, 0.3]",7.890549719115632e-12
11,"[10, 0.6, 0.5]",7.890549719115632e-12
12,"[10, 0.6, 0.2]",7.890549719115632e-12
13,"[10, 0.6, 0.4]",7.890549719115632e-12
14,"[10, 0.6, 0.6]",7.890549719115632e-12
15,"[10, 0.6, 0.7]",7.890549719115632e-12
16,"[10, 0.6, 0.8]",7.890549719115632e-12
17,"[10, 0.6, 0.9]",7.890549719115632e-12
18,"[10, 0.7, 0.1]",1.7331724987707143e-10
19,"[10, 0.7, 0.2]",1.7331724987707143e-10
20,"[10, 0.7, 0.6]",1.7331724987707143e-10
21,"[10, 0.7, 0.3]",1.7331724987707143e-10
22,"[10, 0.7, 0.5]",1.7331724987707143e-10
23,"[10, 0.7, 0.4]",1.7331724987707143e-10
24,"[10, 0.7, 0.8]",1.7331724987707143e-10
25,"[10, 0.7, 0.7]",1.7331724987707143e-10
26,"[10, 0.7, 0.9]",1.7331724987707143e-10
27,"[10, 0.8, 0.1]",6.394625606572686e-10
28,"[10, 0.8, 0.3]",6.394625606572686e-10
29,"[10, 0.8, 0.5]",6.394625606572686e-10
30,"[10, 0.8, 0.2]",6.394625606572686e-10
31,"[10, 0.8, 0.4]",6.394625606572686e-10
32,"[10, 0.8, 0.7]",6.394625606572686e-10
33,"[10, 0.8, 0.6]",6.394625606572686e-10
34,"[10, 0.8, 0.8]",6.394625606572686e-10
35,"[10, 0.8, 0.9]",6.394625606572686e-10
36,"[10, 0.9, 0.3]",9.386357342230206e-09
37,"[10, 0.9, 0.1]",9.386357342230206e-09
38,"[10, 0.9, 0.2]",9.386357342230206e-09
39,"[10, 0.9, 0.4]",9.386357342230206e-09
40,"[10, 0.9, 0.6]",9.386357342230206e-09
41,"[10, 0.9, 0.5]",9.386357342230206e-09
42,"[10, 0.9, 0.7]",9.386357342230206e-09
43,"[10, 0.9, 0.8]",9.386357342230206e-09
44,"[10, 0.9, 0.9]",9.386357342230206e-09
45,"[10, 1.0, 0.1]",9.856326210499094e-08
46,"[10, 1.0, 0.3]",9.856326210499094e-08
47,"[10, 1.0, 0.2]",9.856326210499094e-08
48,"[10, 1.0, 0.4]",9.856326210499094e-08
49,"[10, 1.0, 0.5]",9.856326210499094e-08
50,"[10, 1.0, 0.6]",9.856326210499094e-08
51,"[10, 1.0, 0.7]",9.856326210499094e-08
52,"[10, 1.0, 0.9]",9.856326210499094e-08
53,"[10, 1.0, 0.8]",9.856326210499094e-08
54,"[10, 1.1, 0.1]",5.986825315852391e-07
55,"[10, 1.1, 0.2]",5.986825315852391e-07
56,"[10, 1.1, 0.3]",5.986825315852391e-07
57,"[10, 1.1, 0.4]",5.986825315852391e-07
58,"[10, 1.1, 0.5]",5.986825315852391e-07
59,"[10, 1.1, 0.6]",5.986825315852391e-07
60,"[10, 1.1, 0.7]",5.986825315852391e-07
61,"[10, 1.1, 0.8]",5.986825315852391e-07
62,"[10, 1.1, 0.9]",5.986825315852391e-07
63,"[20, 0.5, 0.2]",1.1182366566461361e-06
64,"[20, 0.5, 0.1]",1.1182366566461361e-06
65,"[20, 0.5, 0.3]",1.1182366566461361e-06
66,"[20, 0.5, 0.5]",1.1182366566461361e-06
67,"[20, 0.5, 0.7]",1.1182366566461361e-06
68,"[20, 0.5, 0.4]",1.1182366566461361e-06
69,"[20, 0.5, 0.6]",1.1182366566461361e-06
70,"[20, 0.5, 0.8]",1.1182366566461361e-06
71,"[20, 0.5, 0.9]",1.1182366566461361e-06
72,"[10, 1.2, 0.2]",6.725680739247917e-06
73,"[10, 1.2, 0.1]",6.725680739247917e-06
74,"[10, 1.2, 0.3]",6.725680739247917e-06
75,"[10, 1.2, 0.4]",6.725680739247917e-06
76,"[10, 1.2, 0.5]",6.725680739247917e-06
77,"[10, 1.2, 0.6]",6.725680739247917e-06
78,"[10, 1.2, 0.7]",6.725680739247917e-06
79,"[10, 1.2, 0.8]",6.725680739247917e-06
80,"[10, 1.2, 0.9]",6.725680739247917e-06
81,"[10, 1.3, 0.1]",9.132868150643713e-06
82,"[10, 1.3, 0.3]",9.132868150643713e-06
83,"[10, 1.3, 0.2]",9.132868150643713e-06
84,"[10, 1.3, 0.4]",9.132868150643713e-06
85,"[10, 1.3, 0.5]",9.132868150643713e-06
86,"[10, 1.3, 0.6]",9.132868150643713e-06
87,"[10, 1.3, 0.7]",9.132868150643713e-06
88,"[10, 1.3, 0.9]",9.132868150643713e-06
89,"[10, 1.3, 0.8]",9.132868150643713e-06
90,"[10, 1.4, 0.2]",3.39530821473691e-05
91,"[10, 1.4, 0.1]",3.39530821473691e-05
92,"[10, 1.4, 0.3]",3.39530821473691e-05
93,"[10, 1.4, 0.5]",3.39530821473691e-05
94,"[10, 1.4, 0.4]",3.39530821473691e-05
95,"[10, 1.4, 0.6]",3.39530821473691e-05
96,"[10, 1.4, 0.8]",3.39530821473691e-05
97,"[10, 1.4, 0.7]",3.39530821473691e-05
98,"[10, 1.4, 0.9]",3.39530821473691e-05
99,"[20, 0.6, 0.1]",5.165121232666755e-05
100,"[20, 0.6, 0.4]",5.165121232666755e-05
101,"[20, 0.6, 0.2]",5.165121232666755e-05
102,"[20, 0.6, 0.3]",5.165121232666755e-05
103,"[20, 0.6, 0.6]",5.165121232666755e-05
104,"[20, 0.6, 0.5]",5.165121232666755e-05
105,"[20, 0.6, 0.7]",5.165121232666755e-05
106,"[20, 0.6, 0.9]",5.165121232666755e-05
107,"[20, 0.6, 0.8]",5.165121232666755e-05
108,"[10, 1.5, 0.1]",0.00012071340098845362
109,"[10, 1.5, 0.2]",0.00012071340098845362
110,"[10, 1.5, 0.3]",0.00012071340098845362
111,"[10, 1.5, 0.4]",0.00012071340098845362
112,"[10, 1.5, 0.5]",0.00012071340098845362
113,"[10, 1.5, 0.6]",0.00012071340098845362
114,"[10, 1.5, 0.8]",0.00012071340098845362
115,"[10, 1.5, 0.7]",0.00012071340098845362
116,"[10, 1.5, 0.9]",0.00012071340098845362
117,"[10, 1.6, 0.1]",0.0003331042633221924
118,"[10, 1.6, 0.3]",0.0003331042633221924
119,"[10, 1.6, 0.2]",0.0003331042633221924
120,"[10, 1.6, 0.4]",0.0003331042633221924
121,"[10, 1.6, 0.5]",0.0003331042633221924
122,"[10, 1.6, 0.8]",0.0003331042633221924
123,"[10, 1.6, 0.9]",0.0003331042633221924
124,"[10, 1.6, 0.6]",0.0003331042633221924
125,"[10, 1.6, 0.7]",0.0003331042633221924
126,"[20, 0.7, 0.2]",0.000692573927735099
127,"[20, 0.7, 0.1]",0.000692573927735099
128,"[20, 0.7, 0.3]",0.000692573927735099
129,"[20, 0.7, 0.4]",0.000692573927735099
130,"[20, 0.7, 0.6]",0.000692573927735099
131,"[20, 0.7, 0.5]",0.000692573927735099
132,"[20, 0.7, 0.8]",0.000692573927735099
133,"[20, 0.7, 0.7]",0.000692573927735099
134,"[20, 0.7, 0.9]",0.000692573927735099
135,"[30, 0.5, 0.3]",0.0010025226220633182
136,"[30, 0.5, 0.1]",0.0010025226220633182
137,"[30, 0.5, 0.5]",0.0010025226220633182
138,"[30, 0.5, 0.2]",0.0010025226220633182
139,"[30, 0.5, 0.4]",0.0010025226220633182
140,"[30, 0.5, 0.7]",0.0010025226220633182
141,"[30, 0.5, 0.6]",0.0010025226220633182
142,"[30, 0.5, 0.8]",0.0010025226220633182
143,"[30, 0.5, 0.9]",0.0010025226220633182
144,"[10, 1.7, 0.1]",0.0010621332652165374
145,"[10, 1.7, 0.2]",0.0010621332652165374
146,"[10, 1.7, 0.3]",0.0010621332652165374
147,"[10, 1.7, 0.4]",0.0010621332652165374
148,"[10, 1.7, 0.5]",0.0010621332652165374
