open,high,low,close,volume,symbol,time_stamp,datetime,date,date_stamp,created_at,updated_at,trade,amount,type
18402.2,18402.2,18383.7,18386.1,3.7523586,OKEX.BTC-USDT,1607789280,2020-12-13 00:08:00,2020-12-13,1607788800,1617198594,1617198594,1,69021.44694219,1min
18405,18406.6,18402.1,18402.1,3.83265572,OKEX.BTC-USDT,1607789220,2020-12-13 00:07:00,2020-12-13,1607788800,1617198594,1617198594,1,70534.471175806,1min
18396.8,18403.8,18396.8,18403.8,2.3165659,OKEX.BTC-USDT,1607789160,2020-12-13 00:06:00,2020-12-13,1607788800,1617198594,1617198594,1,42625.50752977,1min
18383.7,18405.3,18383.7,18396.8,7.90771716,OKEX.BTC-USDT,1607789100,2020-12-13 00:05:00,2020-12-13,1607788800,1617198594,1617198594,1,145424.89550168999,1min
18366,18385.8,18366,18383,2.11617686,OKEX.BTC-USDT,1607789040,2020-12-13 00:04:00,2020-12-13,1607788800,1617198594,1617198594,1,38883.691714069995,1min
18384.8,18394.7,18365.9,18365.9,5.65740007,OKEX.BTC-USDT,1607788980,2020-12-13 00:03:00,2020-12-13,1607788800,1617198594,1617198594,1,103956.70637627448,1min
18430.2,18430.2,18386.3,18386.3,7.75239919,OKEX.BTC-USDT,1607788920,2020-12-13 00:02:00,2020-12-13,1607788800,1617198594,1617198594,1,142708.1023893175,1min
18425.4,18434.1,18420.6,18430.3,9.73418103,OKEX.BTC-USDT,1607788860,2020-12-13 00:01:00,2020-12-13,1607788800,1617198594,1617198594,1,179380.0278936855,1min
18399.9,18421.7,18389,18421.7,10.76201703,OKEX.BTC-USDT,1607788800,2020-12-13 00:00:00,2020-12-13,1607788800,1617198594,1617198594,1,198137.34313592405,1min
18399.9,18399.9,18399.8,18399.8,2.09912074,OKEX.BTC-USDT,1607788740,2020-12-12 23:59:00,2020-12-12,1607702400,1617198594,1617198594,1,38623.506747889,1min
18390.9,18399.9,18390.9,18399.9,9.91597102,OKEX.BTC-USDT,1607788680,2020-12-12 23:58:00,2020-12-12,1607702400,1617198594,1617198594,1,182408.25330130802,1min
18398.3,18398.4,18390.8,18390.8,1.04767745,OKEX.BTC-USDT,1607788620,2020-12-12 23:57:00,2020-12-12,1607702400,1617198594,1617198594,1,19271.555237897497,1min
18395.5,18398.7,18395.5,18398.4,6.02160079,OKEX.BTC-USDT,1607788560,2020-12-12 23:56:00,2020-12-12,1607702400,1617198594,1617198594,1,110779.0886535905,1min
18389.9,18399,18389.9,18394.3,5.37913057,OKEX.BTC-USDT,1607788500,2020-12-12 23:55:00,2020-12-12,1607702400,1617198594,1617198594,1,98933.507356497,1min
18400.4,18400.4,18391.2,18391.2,1.2878863,OKEX.BTC-USDT,1607788440,2020-12-12 23:54:00,2020-12-12,1607702400,1617198594,1617198594,1,23691.698797540004,1min
18400,18401.2,18400,18400.4,15.09886904,OKEX.BTC-USDT,1607788380,2020-12-12 23:53:00,2020-12-12,1607702400,1617198594,1617198594,1,277822.210109808,1min
18399.8,18400,18399.8,18400,1.76950807,OKEX.BTC-USDT,1607788320,2020-12-12 23:52:00,2020-12-12,1607702400,1617198594,1617198594,1,32558.771537193006,1min
18399.8,18399.8,18399.7,18399.8,3.13502817,OKEX.BTC-USDT,1607788260,2020-12-12 23:51:00,2020-12-12,1607702400,1617198594,1617198594,1,57683.891322366,1min
18395.5,18400.3,18395.5,18397,5.08777529,OKEX.BTC-USDT,1607788200,2020-12-12 23:50:00,2020-12-12,1607702400,1617198594,1617198594,1,93595.9861786625,1min
18401.2,18401.2,18391.9,18395.5,45.51054826,OKEX.BTC-USDT,1607788140,2020-12-12 23:49:00,2020-12-12,1607702400,1617198594,1617198594,1,837318.9955793709,1min
18398.6,18401.2,18398.6,18401.2,6.15642853,OKEX.BTC-USDT,1607788080,2020-12-12 23:48:00,2020-12-12,1607702400,1617198594,1617198594,1,113277.66930914702,1min
18394,18402.6,18388.4,18398.6,13.08122555,OKEX.BTC-USDT,1607788020,2020-12-12 23:47:00,2020-12-12,1607702400,1617198594,1617198594,1,240646.14958546497,1min
18408,18408,18392.1,18394.1,8.84651543,OKEX.BTC-USDT,1607787960,2020-12-12 23:46:00,2020-12-12,1607702400,1617198594,1617198594,1,162785.1727532015,1min
18421.3,18421.3,18405,18408.6,6.16614102,OKEX.BTC-USDT,1607787900,2020-12-12 23:45:00,2020-12-12,1607702400,1617198594,1617198594,1,113549.17857624899,1min
18427,18428.9,18423.3,18423.3,6.06755395,OKEX.BTC-USDT,1607787840,2020-12-12 23:44:00,2020-12-12,1607702400,1617198594,1617198594,1,111795.59166184251,1min
18415.8,18427,18413.4,18425.6,7.61782339,OKEX.BTC-USDT,1607787780,2020-12-12 23:43:00,2020-12-12,1607702400,1617198594,1617198594,1,140325.63932017298,1min
18418.7,18418.7,18412.6,18415.8,6.37470197,OKEX.BTC-USDT,1607787720,2020-12-12 23:42:00,2020-12-12,1607702400,1617198594,1617198594,1,117404.4798569825,1min
18435.8,18435.8,18412.1,18418.8,5.17413351,OKEX.BTC-USDT,1607787660,2020-12-12 23:41:00,2020-12-12,1607702400,1617198594,1617198594,1,95345.310428823,1min
18412.2,18435.9,18412.2,18435.8,17.47178901,OKEX.BTC-USDT,1607787600,2020-12-12 23:40:00,2020-12-12,1607702400,1617198594,1617198594,1,321900.24072024,1min
