,param,equity_curve
0,"[450, 4.6]",0.0
1,"[460, 4.6]",0.0
2,"[510, 4.6]",0.0
3,"[520, 4.6]",0.0
4,"[530, 4.5]",0.0
5,"[530, 4.6]",0.0
6,"[540, 4.4]",0.0
7,"[540, 4.5]",0.0
8,"[540, 4.6]",0.0
9,"[550, 4.5]",0.0
10,"[550, 4.4]",0.0
11,"[560, 4.5]",0.0
12,"[560, 4.4]",0.0
13,"[570, 4.4]",0.0
14,"[570, 4.5]",0.0
15,"[580, 4.4]",0.0
16,"[580, 4.5]",0.0
17,"[590, 4.5]",0.0
18,"[590, 4.4]",0.0
19,"[600, 4.5]",0.0
20,"[610, 4.6]",0.0
21,"[610, 4.5]",0.0
22,"[620, 4.5]",0.0
23,"[620, 4.6]",0.0
24,"[630, 4.4]",0.0
25,"[630, 4.6]",0.0
26,"[630, 4.5]",0.0
27,"[640, 4.4]",0.0
28,"[640, 4.6]",0.0
29,"[640, 4.5]",0.0
30,"[650, 4.4]",0.0
31,"[650, 4.6]",0.0
32,"[650, 4.5]",0.0
33,"[660, 4.5]",0.0
34,"[660, 4.4]",0.0
35,"[660, 4.6]",0.0
36,"[670, 4.4]",0.0
37,"[670, 4.6]",0.0
38,"[670, 4.5]",0.0
39,"[680, 4.4]",0.0
40,"[680, 4.5]",0.0
41,"[680, 4.6]",0.0
42,"[690, 4.4]",0.0
43,"[690, 4.5]",0.0
44,"[690, 4.6]",0.0
45,"[700, 4.5]",0.0
46,"[700, 4.6]",0.0
47,"[710, 4.5]",0.0
48,"[710, 4.6]",0.0
49,"[720, 4.5]",0.0
50,"[720, 4.7]",0.0
51,"[720, 4.6]",0.0
52,"[730, 4.5]",0.0
53,"[730, 4.6]",0.0
54,"[730, 4.7]",0.0
55,"[740, 4.5]",0.0
56,"[740, 4.6]",0.0
57,"[740, 4.7]",0.0
58,"[750, 4.6]",0.0
59,"[750, 4.5]",0.0
60,"[750, 4.7]",0.0
61,"[760, 4.5]",0.0
62,"[760, 4.7]",0.0
63,"[760, 4.6]",0.0
64,"[770, 4.5]",0.0
65,"[770, 4.6]",0.0
66,"[770, 4.7]",0.0
67,"[770, 4.8]",0.0
68,"[780, 4.6]",0.0
69,"[780, 4.8]",0.0
70,"[780, 4.7]",0.0
71,"[790, 4.6]",0.0
72,"[790, 4.7]",0.0
73,"[790, 4.8]",0.0
74,"[800, 4.7]",0.0
75,"[800, 4.6]",0.0
76,"[800, 4.8]",0.0
